Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2019,December,1 North West Metro, Melbourne,36346,21512.618968701
2019,December,1 North West Metro, Melton,12612,7618.932552028
2019,December,1 North West Metro, Merri-bek,14368,8012.17886877
2019,December,1 North West Metro, Moonee Valley,8280,6550.321978387
2019,December,1 North West Metro, Nillumbik,2233,3463.948870688
2019,December,1 North West Metro, Whittlesea,16472,7286.174316147
2019,December,1 North West Metro, Wyndham,16755,6132.847244337
2019,December,1 North West Metro, Yarra,13504,13987.404706662
2019,December,1 North West Metro,Total,200940,9068.405672831
2019,December,2 Eastern, Alpine,570,4417.234965902
2019,December,2 Eastern, Bass Coast,2498,6672.008547009
2019,December,2 Eastern, Baw Baw,4761,8808.999574444
2019,December,2 Eastern, Benalla,1309,9194.352742853
2019,December,2 Eastern, Boroondara,8139,4530.148110629
2019,December,2 Eastern, East Gippsland,4895,10313.079386482
2019,December,2 Eastern, Greater Shepparton,8836,13045.339790058
2019,December,2 Eastern, Indigo,598,3543.493718891
2019,December,2 Eastern, Knox,11923,7300.928307248
2019,December,2 Eastern, Latrobe,14004,18397.02578789
2019,December,2 Eastern, Manningham,5138,4049.719010349
2019,December,2 Eastern, Mansfield,472,5012.211957099
2019,December,2 Eastern, Maroondah,8163,6919.849107786
2019,December,2 Eastern, Mitchell,4819,10391.822827939
2019,December,2 Eastern, Moira,2541,8442.140934915
2019,December,2 Eastern, Monash,11689,5851.463241257
2019,December,2 Eastern, Murrindindi,809,5489.584040171
2019,December,2 Eastern, South Gippsland,1729,5778.163954149
2019,December,2 Eastern, Strathbogie,629,5766.938663244
2019,December,2 Eastern, Towong,214,3484.207098665
2019,December,2 Eastern, Wangaratta,2521,8563.47022657
2019,December,2 Eastern, Wellington,4589,10271.734264482
2019,December,2 Eastern, Whitehorse,9222,5243.884409366
2019,December,2 Eastern, Wodonga,3745,8898.868928809
2019,December,2 Eastern, Yarra Ranges,9178,5781.599420454
2019,December,2 Eastern,Total,122991,7180.71084898
2019,December,3 Southern Metro, Bayside,5098,4849.326535271
2019,December,3 Southern Metro, Cardinia,6638,5926.679880716
2019,December,3 Southern Metro, Casey,22532,6401.027255217
2019,December,3 Southern Metro, Frankston,14921,10509.966894414
2019,December,3 Southern Metro, Glen Eira,7388,4799.397152063
2019,December,3 Southern Metro, Greater Dandenong,18916,11374.897772646
2019,December,3 Southern Metro, Kingston,12107,7419.505080342
2019,December,3 Southern Metro, Mornington Peninsula,11211,6649.7028364
2019,December,3 Southern Metro, Port Phillip,12549,11226.315506969
2019,December,3 Southern Metro, Stonnington,11752,10326.889279438
2019,December,3 Southern Metro,Total,123112,7749.267951245
2019,December,4 Western, Ararat,1262,10660.584558202
2019,December,4 Western, Ballarat,11742,10696.619387281
